,Interval,Product,Pice,Order Quantity,Year,Month
495,11/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black,"4,499",5,2021,April
496,11/04/2021,Acer Monitor | V206HQL,"1,599",1,2021,April
497,12/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black,"4,499",1,2021,April
498,13/04/2021,Acer Projector | C250i,"7,999",1,2021,April
499,13/04/2021,Acer Swift 3 Laptop | SF314-59-35SS,"10,999",1,2021,April
500,14/04/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,999",3,2021,April
501,14/04/2021,Acer Swift 3 Laptop | SF314-59-35SS,"10,999",1,2021,April
502,14/04/2021,Acer Swift 3 Laptop | SF314-59-58ZS,"14,099",1,2021,April
503,15/04/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,999",1,2021,April
504,16/04/2021,Acer Projector | X1527i,"10,199",2,2021,April
505,16/04/2021,Acer Swift 3 Laptop | SF314-59-35SS,"10,999",1,2021,April
506,17/04/2021,Acer Aspire XC Desktop | XC-830 | Linpus™ Linux®,"3,899",2,2021,April
507,17/04/2021,"Acer Aspire 3 Laptop | A315-34-C4FM | Black + 19,5&quot; Monitor","5,999",1,2021,April
508,19/04/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,999",1,2021,April
509,19/04/2021,Acer Nitro 5 Gaming Laptop | AN517-52-576F,"21,999",1,2021,April
510,20/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black + JBL Tune 500BT Wireless On-Ear Headphones,"5,299",3,2021,April
511,21/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black + JBL Tune 500BT Wireless On-Ear Headphones OH4340,"5,299",1,2021,April
512,21/04/2021,Acer Swift 3 Laptop | SF314-59-5307,"14,099",1,2021,April
513,22/04/2021,Acer Nitro 5 Gaming Laptop | AN517-52-576F,"21,999",3,2021,April
514,22/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black + JBL Tune 500BT Wireless On-Ear Headphones OH4340,"5,299",2,2021,April
515,22/04/2021,Targus CityGear 14” Laptop Sleeve,499,2,2021,April
516,22/04/2021,JBL Endurance Sprint Waterproof In-Ear Bluetooth Headphones - Black,699,2,2021,April
517,22/04/2021,Acer Monitor | V206HQL,"1,599",1,2021,April
518,23/04/2021,JBL Boombox 2 Bluetooth Speaker Black,"7,499",1,2021,April
519,26/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black,"4,599",3,2021,April
520,26/04/2021,Acer Swift 3 Laptop | SF314-59-5307,"14,099",1,2021,April
521,26/04/2021,Acer TMP 614 65W 3PHY BLK AC ADAPTER- ADT ONLY (RETAIL PACK),"1,299",1,2021,April
522,27/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black,"4,599",2,2021,April
523,28/04/2021,Acer Swift 3 Laptop | SF314-59-58ZS,"14,099",1,2021,April
524,28/04/2021,Targus CityGear 14” Laptop Sleeve,499,1,2021,April
525,28/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black,"4,599",1,2021,April
526,28/04/2021,Acer Swift 3 Laptop | SF314-59-33YU,"10,999",1,2021,April
527,29/04/2021,Acer Aspire 3 Laptop | A315-34-C4FM | Black,"4,599",3,2021,April
528,29/04/2021,Acer Swift 3 Laptop | SF314-59-58ZS,"14,099",1,2021,April
529,30/04/2021,Acer Swift 3 Laptop | SF314-59-55GU,"13,999",7,2021,April
530,30/04/2021,Acer Swift 3 Laptop | SF314-59-33YU,"10,999",1,2021,April
531,02/05/2021,Acer Nitro 5 Gaming Laptop | AN517-52-576F,"21,999",1,2021,May
532,03/05/2021,Acer Chrome Spin 511 Chromebook | R752T-C8TB,"6,799",1,2021,May
533,05/05/2021,Acer Swift 3 Laptop | SF314-59-7203,"15,999",2,2021,May
534,05/05/2021,Acer Swift 3 Laptop | SF314-59-35SS + Fitbit Inspire 2 - Black - FITFB418BKBK,"11,699",1,2021,May
535,06/05/2021,Acer Swift 3 Laptop | SF314-59-35SS + Fitbit Inspire 2 - Black - FITFB418BKBK,"11,699",1,2021,May
536,06/05/2021,Acer Swift 3 Laptop | SF314-59-55GU,"13,999",1,2021,May
537,07/05/2021,Acer Swift 3 Laptop | SF314-59-7203,"15,999",1,2021,May
538,08/05/2021,JBL PartyBox 310,"7,499",2,2021,May
539,08/05/2021,Acer Nitro 5 Gaming Laptop | AN515-54-70LZ  + Headset and Mouse,"18,499",1,2021,May
540,09/05/2021,Unisex UA Project Rock True Wireless Headphones - OH4522,"2,899",1,2021,May
541,10/05/2021,Acer Swift 3 Laptop | SF314-59-7203,"15,999",1,2021,May
542,10/05/2021,Acer Swift 3 Laptop | SF314-59-35SS + Fitbit Inspire 2 - Black - FITFB418BKBK,"12,999",1,2021,May
543,12/05/2021,JBL PartyBox 310,"7,499",6,2021,May
544,13/05/2021,Unisex UA Project Rock True Wireless Headphones - OH4522,"2,899",1,2021,May
545,13/05/2021,Acer Spin 5 Laptop | SP513-55N-56AY,"20,199",1,2021,May
546,13/05/2021,JBL PartyBox 310,"7,499",1,2021,May
547,14/05/2021,JBL Endurance Sprint Waterproof In-Ear Bluetooth Headphones - Black,699,1,2021,May
548,14/05/2021,TARGUS - AMOSPHERE BACKPACK 17-18 INCH BLK,999,1,2021,May
549,14/05/2021,Acer Aspire XC Desktop | XC-830 | Linpus™ Linux®,"3,899",1,2021,May
550,14/05/2021,Acer Projector | X1527i,"10,499",1,2021,May
551,18/05/2021,Acer Projector | P5530i,"15,999",2,2021,May
552,18/05/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,499",2,2021,May
553,18/05/2021,Acer Travelmate Laptop | TMP214-52-71MF,"19,999",1,2021,May
554,18/05/2021,Acer Swift 1 Laptop | SF114-34-C67W,"8,999",1,2021,May
555,18/05/2021,Acer Projector | X1527i,"10,499",1,2021,May
556,19/05/2021,Acer Nitro 5 Gaming Laptop | AN515-55-706S,"27,499",1,2021,May
557,19/05/2021,Acer Swift 3 Laptop | SF314-59-35SS + Fitbit Inspire 2 - Black - FITFB418BKBK,"12,999",1,2021,May
558,19/05/2021,Acer Swift 3 Laptop | SF314-59-55GU,"14,999",1,2021,May
559,20/05/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,499",1,2021,May
560,20/05/2021,Unisex UA Project Rock True Wireless Headphones - OH4522,"2,899",1,2021,May
561,21/05/2021,Acer Nitro 5 Gaming Laptop | AN515-55-706S,"27,499",1,2021,May
562,21/05/2021,JBL PartyBox 310,"7,499",1,2021,May
563,23/05/2021,Acer Swift 5 Laptop | SF514-55T-72EN,"22,999",1,2021,May
564,24/05/2021,Acer Swift 5 Laptop | SF514-55T-72EN,"22,999",1,2021,May
565,25/05/2021,JBL Boombox 2 Bluetooth Speaker Black,"7,499",2,2021,May
566,25/05/2021,JBL PartyBox 310,"7,499",1,2021,May
567,25/05/2021,Acer Chrome Spin 511 Chromebook | R752T-C8TB + JBL Tune 500BT Wireless On-Ear Headphones - Black OH4340,"7,299",1,2021,May
568,27/05/2021,Acer Travelmate Laptop | TMP414RN-51-7957,"24,499",1,2021,May
569,27/05/2021,Acer Chrome Spin 511 Chromebook | R752T-C8TB + JBL Tune 500BT Wireless On-Ear Headphones - Black OH4340,"7,299",1,2021,May
570,27/05/2021,Acer Swift 3 Laptop | SF314-59-5307 + JBL Link Music Voice Activated Wi-Fi Speaker - Grey - OH4666,"13,999",1,2021,May
571,28/05/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,499",3,2021,May
572,28/05/2021,Acer Predator Helios 300 Gaming Laptop | PH315-53-74PD,"25,999",1,2021,May
573,29/05/2021,Acer Swift 3 Laptop | SF314-59-7203 + Fitbit Versa 2 Smart Watch Black Carbon - FITFB507BKBK,"18,999",1,2021,May
574,31/05/2021,Acer Aspire 5 Laptop | A514-54-73R5,"15,999",1,2021,May
575,31/05/2021,Acer Travelmate Laptop | TMP215-53-55F5,"15,999",1,2021,May
576,02/06/2021,Acer TMP 614 65W 3PHY BLK AC ADAPTER- ADT ONLY (RETAIL PACK),"1,299",1,2021,June
577,03/06/2021,Acer Travelmate Laptop | TMP414RN-51-7957,"24,499",1,2021,June
578,06/06/2021,Acer Predator Helios 300 Gaming Laptop | PH315-53-74PD,"25,999",1,2021,June
579,06/06/2021,Acer Spin 1 Laptop | SP114-31N-C422,"9,799",1,2021,June
580,06/06/2021,Acer Aspire 5 Laptop |  A514-54-58NR,"12,499",1,2021,June
581,07/06/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,499",2,2021,June
582,08/06/2021,Acer Spin 1 Laptop | SP111-33-C7J6,"5,499",3,2021,June
583,09/06/2021,Acer Triton 300 14&#039;&#039; | PT314-51s-71YP,"30,499",1,2021,June
584,10/06/2021,Acer Aspire XC Desktop | XC-830 | Linpus™ Linux®,"3,899",1,2021,June
